Family,Name ,Shape,N,r,L.min,L.max,a,b,%error,Name,,name with extra space,,name without extra space
Dasyatidae,,very-flat,82,0.99,17.00,49.50,0.01,3.35,16.00,,, ,,
Dasyatidae,Dasyatis spp.,very-flat,82,0.99,17.00,49.50,0.01,3.35,16.00,Dasyatis,spp.,Dasyatis spp.,,Dasyatis spp.
Dasyatidae,Dasyatis kuhlii,very-flat,78,0.99,17.00,49.50,0.01,3.36,7.90,Dasyatis,kuhlii,Dasyatis kuhlii,,Dasyatis kuhlii
Diodontidae,Diodon spp.,odd,25,0.97,1.00,75.00,0.07,2.78,37.60,Diodon,spp.,Diodon spp.,,Diodon spp.
Diodontidae,Diodon hystrix,odd,22,0.98,28.00,75.00,0.19,2.47,9.50,Diodon,hystrix,Diodon hystrix,,Diodon hystrix
Echeneididae,Echeneis naucrates,cylindrical,342,0.98,12.00,84.50,0.00,3.36,9.40,Echeneis,naucrates,Echeneis naucrates,,Echeneis naucrates
Eleotrididae,Butis amboinensis,cylindrical,14,0.92,4.50,8.50,0.01,3.03,15.30,Butis,amboinensis,Butis amboinensis,,Butis amboinensis
Elopidae,Elops machnata,semi-elongated,68,0.95,18.50,85.00,0.01,2.93,21.20,Elops,machnata,Elops machnata,,Elops machnata
Engraulidae,,cylindrical,96,0.96,5.00,12.50,0.00,3.49,14.30,,, ,,
Stolephorus,spp.,cylindrical,11,0.83,8.50,12.50,0.03,2.60,13.80,spp.,,spp. ,,spp.
Thryssina,baelama,cylindrical,85,0.97,5.00,11.50,0.00,3.59,10.60,baelama,,baelama ,,baelama
Ephippidae,Platax spp.,very-flat,11,1.00,4.50,50.00,0.04,2.95,12.40,Platax,spp.,Platax spp.,,Platax spp.
Fistulariidae,Fistularia spp.,elongated,47,0.98,18.50,44.00,0.00,3.05,10.10,Fistularia,spp.,Fistularia spp.,,Fistularia spp.
Fistulariidae,Fistularia petimba,elongated,43,0.99,19.00,44.00,0.00,3.21,5.70,Fistularia,petimba,Fistularia petimba,,Fistularia petimba
Gerreidae,Gerres spp.,compressed,1590,0.99,3.00,34.00,0.02,3.07,9.00,Gerres,spp.,Gerres spp.,,Gerres spp.
Gerreidae,Gerres filamentosus,compressed,273,1.00,5.00,21.50,0.02,3.01,8.60,Gerres,filamentosus,Gerres filamentosus,,Gerres filamentosus
Gerreidae,Gerres ovatus,compressed,963,0.99,3.00,19.00,0.02,3.01,8.10,Gerres,ovatus,Gerres ovatus,,Gerres ovatus
Gerreidae,Gerres oyena,cylindrical,339,0.98,4.00,20.00,0.01,3.34,12.80,Gerres,oyena,Gerres oyena,,Gerres oyena
Gobiidae,,cylindrical,296,0.95,2.30,36.50,0.03,2.62,24.00,,, ,,
Gobiidae,Amblygobius phalaena,cylindrical,57,0.96,3.00,11.70,0.02,2.83,13.60,Amblygobius,phalaena,Amblygobius phalaena,,Amblygobius phalaena
Gobiidae,Exyrias spp.,cylindrical,28,0.98,4.50,13.50,0.01,2.92,12.70,Exyrias,spp.,Exyrias spp.,,Exyrias spp.
Gobiidae,Exyrias bellissimus,cylindrical,23,0.97,7.00,13.50,0.01,2.88,8.80,Exyrias,bellissimus,Exyrias bellissimus,,Exyrias bellissimus
Gobiidae,Gnatholepis spp.,cylindrical,13,0.93,3.50,8.50,0.02,2.83,9.70,Gnatholepis,spp.,Gnatholepis spp.,,Gnatholepis spp.
Gobiidae,Gobiodon citrinus,cylindrical,12,0.93,2.80,5.20,0.06,2.44,11.40,Gobiodon,citrinus,Gobiodon citrinus,,Gobiodon citrinus
Gobiidae,Istigobius spp.,cylindrical,51,0.96,3.00,11.00,0.02,2.78,9.90,Istigobius,spp.,Istigobius spp.,,Istigobius spp.
Gobiidae,Istigobius decoratus,cylindrical,24,0.98,5.50,11.00,0.02,2.78,8.90,Istigobius,decoratus,Istigobius decoratus,,Istigobius decoratus
Gobiidae,Istigobius ornatus,cylindrical,14,0.95,3.80,9.00,0.01,3.11,20.50,Istigobius,ornatus,Istigobius ornatus,,Istigobius ornatus
Gobiidae,Oxyurichthys spp.,cylindrical,23,0.95,7.00,14.50,0.01,2.90,13.90,Oxyurichthys,spp.,Oxyurichthys spp.,,Oxyurichthys spp.
Gobiidae,Oxyurichthys papuensis,cylindrical,12,0.97,8.00,14.00,0.01,2.91,10.40,Oxyurichthys,papuensis,Oxyurichthys papuensis,,Oxyurichthys papuensis
Gobiidae,Priolepis cinctus,cylindrical,13,0.95,3.50,7.00,0.02,3.01,11.60,Priolepis,cinctus,Priolepis cinctus,,Priolepis cinctus
Gobiidae,Valenciennea spp.,cylindrical,17,0.99,4.50,12.50,0.01,2.86,4.50,Valenciennea,spp.,Valenciennea spp.,,Valenciennea spp.
Gobiidae,Valenciennea longipinnis,cylindrical,9,0.98,7.50,12.50,0.01,3.14,6.50,Valenciennea,longipinnis,Valenciennea longipinnis,,Valenciennea longipinnis
Grammistidae,,heterogeneous,22,0.99,1.00,27.00,0.01,3.23,30.80,,, ,,
Grammistidae,Diploprion bifasciatum,compressed,16,0.94,13.40,20.00,0.01,3.28,10.10,Diploprion,bifasciatum,Diploprion bifasciatum,,Diploprion bifasciatum
Haemulidae,,heterogeneous,1530,1.00,4.00,75.00,0.02,2.90,10.50,,, ,,
Haemulidae,Diagramma pictus,compressed,547,1.00,7.00,75.00,0.01,2.99,5.80,Diagramma,pictus,Diagramma pictus,,Diagramma pictus
Haemulidae,Plectorhinchus spp.,compressed,106,0.99,7.00,55.50,0.02,2.97,9.20,Plectorhinchus,spp.,Plectorhinchus spp.,,Plectorhinchus spp.
Haemulidae,Plectorhinchus chaetodonoides,compressed,17,1.00,14.00,53.50,0.02,3.04,6.10,Plectorhinchus,chaetodonoides,Plectorhinchus chaetodonoides,,Plectorhinchus chaetodonoides
Haemulidae,Plectorhinchus gibbosus,compressed,14,0.98,7.00,38.00,0.02,2.96,13.80,Plectorhinchus,gibbosus,Plectorhinchus gibbosus,,Plectorhinchus gibbosus
Haemulidae,Plectorhinchus lineatus,cylindrical,22,0.99,19.50,44.00,0.01,3.08,4.80,Plectorhinchus,lineatus,Plectorhinchus lineatus,,Plectorhinchus lineatus
Haemulidae,Plectorhinchus obscurus,compressed,27,1.00,17.50,55.50,0.03,2.89,6.90,Plectorhinchus,obscurus,Plectorhinchus obscurus,,Plectorhinchus obscurus
Haemulidae,Plectorhinchus picus,compressed,16,0.99,36.00,54.50,0.01,3.09,3.80,Plectorhinchus,picus,Plectorhinchus picus,,Plectorhinchus picus
Haemulidae,Pomadasys argenteus,cylindrical,875,1.00,4.00,43.00,0.02,2.95,6.60,Pomadasys,argenteus,Pomadasys argenteus,,Pomadasys argenteus
Hemigaleidae,Triaenodon obesus,cylindrical,20,0.97,52.00,108.00,0.00,3.34,10.70,Triaenodon,obesus,Triaenodon obesus,,Triaenodon obesus
Hemiramphidae,,semi-elongated,92,0.90,13.00,44.50,0.00,4.92,35.40,,, ,,
Hemiramphidae,Hemiramphus affinis,semi-elongated,12,0.99,13.50,27.50,0.00,3.58,13.30,Hemiramphus,affinis,Hemiramphus affinis,,Hemiramphus affinis
Hemiramphidae,Hemirhamphus far,semi-elongated,69,0.92,22.00,44.50,0.33,1.83,9.00,Hemirhamphus,far,Hemirhamphus far,,Hemirhamphus far
Holocentridae,,heterogeneous,1533,0.99,2.90,31.50,0.02,3.06,11.10,,, ,,
Holocentridae,Myripristis spp.,cylindrical,504,0.99,3.50,22.50,0.03,3.03,8.70,Myripristis,spp.,Myripristis spp.,,Myripristis spp.
Holocentridae,Myripristis amaena,cylindrical,22,1.00,5.00,17.00,0.02,3.26,5.10,Myripristis,amaena,Myripristis amaena,,Myripristis amaena
Holocentridae,Myripristis berndti,cylindrical,87,0.99,4.50,22.50,0.03,3.00,8.20,Myripristis,berndti,Myripristis berndti,,Myripristis berndti
Holocentridae,Myripristis hexagona,cylindrical,16,1.00,4.60,19.00,0.03,3.09,7.90,Myripristis,hexagona,Myripristis hexagona,,Myripristis hexagona
Holocentridae,Myripristis kuntee,cylindrical,81,0.95,6.00,14.00,0.01,3.47,13.50,Myripristis,kuntee,Myripristis kuntee,,Myripristis kuntee
Holocentridae,Myripristis melanosticta,cylindrical,61,0.99,4.00,19.50,0.03,3.02,9.80,Myripristis,melanosticta,Myripristis melanosticta,,Myripristis melanosticta
Holocentridae,Myripristis pralinia,cylindrical,41,1.00,5.00,15.00,0.02,3.10,5.80,Myripristis,pralinia,Myripristis pralinia,,Myripristis pralinia
Holocentridae,Myripristis violacea,cylindrical,138,0.99,3.50,19.20,0.04,2.94,8.40,Myripristis,violacea,Myripristis violacea,,Myripristis violacea
Holocentridae,Neoniphon spp.,cylindrical,196,1.00,3.50,19.00,0.03,2.87,8.70,Neoniphon,spp.,Neoniphon spp.,,Neoniphon spp.
Holocentridae,Neoniphon argenteus,cylindrical,57,0.99,4.50,18.20,0.03,2.82,7.00,Neoniphon,argenteus,Neoniphon argenteus,,Neoniphon argenteus
Holocentridae,Neoniphon sammara,cylindrical,138,1.00,3.50,19.00,0.03,2.89,7.30,Neoniphon,sammara,Neoniphon sammara,,Neoniphon sammara
Holocentridae,Plectrypops lima,cylindrical,11,0.96,5.50,10.50,0.02,3.14,11.70,Plectrypops,lima,Plectrypops lima,,Plectrypops lima
Holocentridae,Sargocentron spp.,cylindrical,822,0.99,2.90,31.50,0.02,3.05,8.70,Sargocentron,spp.,Sargocentron spp.,,Sargocentron spp.
Holocentridae,Sargocentron diadema,cylindrical,322,0.99,5.00,15.00,0.03,2.96,8.30,Sargocentron,diadema,Sargocentron diadema,,Sargocentron diadema
Holocentridae,Sargocentron rubrum,cylindrical,371,0.99,2.90,23.00,0.03,3.00,7.40,Sargocentron,rubrum,Sargocentron rubrum,,Sargocentron rubrum
Holocentridae,Sargocentron spiniferum,compressed,122,0.98,11.50,31.50,0.02,3.12,9.00,Sargocentron,spiniferum,Sargocentron spiniferum,,Sargocentron spiniferum
Kuhliidae,Kuhlia spp.,cylindrical,36,1.00,4.00,24.00,0.02,3.03,5.00,Kuhlia,spp.,Kuhlia spp.,,Kuhlia spp.
Kuhliidae,Kuhlia marginata,cylindrical,31,1.00,4.00,17.50,0.01,3.08,7.80,Kuhlia,marginata,Kuhlia marginata,,Kuhlia marginata
Kyphosidae,Kyphosus spp.,compressed,22,0.99,17.70,53.50,0.01,3.15,5.10,Kyphosus,spp.,Kyphosus spp.,,Kyphosus spp.
Kyphosidae,Kyphosus vaigiensis,compressed,12,1.00,17.70,48.00,0.02,3.04,6.10,Kyphosus,vaigiensis,Kyphosus vaigiensis,,Kyphosus vaigiensis
Labridae,,heterogeneous,1382,1.00,2.50,93.00,0.01,3.18,15.90,,, ,,
Labridae,Anampses spp.,cylindrical,13,0.98,4.50,13.60,0.02,2.79,10.60,Anampses,spp.,Anampses spp.,,Anampses spp.
Labridae,Bodianus spp.,cylindrical,510,0.99,8.00,59.00,0.01,3.17,5.50,Bodianus,spp.,Bodianus spp.,,Bodianus spp.
Labridae,Bodianus perditio,cylindrical,496,0.99,16.50,59.00,0.01,3.15,5.90,Bodianus,perditio,Bodianus perditio,,Bodianus perditio
Labridae,Cheilinus spp.,cylindrical,111,1.00,4.20,93.00,0.02,3.06,15.50,Cheilinus,spp.,Cheilinus spp.,,Cheilinus spp.
Labridae,Cheilinus bimaculatus,cylindrical,28,0.97,5.00,13.00,0.07,2.32,10.90,Cheilinus,bimaculatus,Cheilinus bimaculatus,,Cheilinus bimaculatus
Labridae,Cheilinus chlorourus,compressed,44,0.99,4.20,32.00,0.02,2.99,11.70,Cheilinus,chlorourus,Cheilinus chlorourus,,Cheilinus chlorourus
Labridae,Cheilinus trilobatus,compressed,9,1.00,8.50,24.00,0.02,3.06,8.50,Cheilinus,trilobatus,Cheilinus trilobatus,,Cheilinus trilobatus
Labridae,Cheilinus undulatus,compressed,16,1.00,23.00,93.00,0.01,3.14,4.40,Cheilinus,undulatus,Cheilinus undulatus,,Cheilinus undulatus
Labridae,Cheilio inermis,semi-elongated,12,1.00,5.80,23.70,0.00,3.08,8.50,Cheilio,inermis,Cheilio inermis,,Cheilio inermis
Labridae,Choerodon graphicus,cylindrical,140,1.00,4.00,51.50,0.02,3.12,9.30,Choerodon,graphicus,Choerodon graphicus,,Choerodon graphicus
Labridae,Coris spp.,cylindrical,20,1.00,5.20,55.00,0.01,3.25,8.30,Coris,spp.,Coris spp.,,Coris spp.
Labridae,Coris aygula,cylindrical,11,0.99,32.50,55.00,0.00,3.49,5.20,Coris,aygula,Coris aygula,,Coris aygula
Labridae,Epibulus insidiator,compressed,19,0.99,8.70,35.00,0.02,3.08,11.60,Epibulus,insidiator,Epibulus insidiator,,Epibulus insidiator
Labridae,Gomphosus varius,odd,22,1.00,5.00,21.20,0.02,2.70,8.60,Gomphosus,varius,Gomphosus varius,,Gomphosus varius
Labridae,Halichoeres spp.,cylindrical,80,0.98,3.10,19.30,0.02,2.99,13.70,Halichoeres,spp.,Halichoeres spp.,,Halichoeres spp.
Labridae,Halichoeres argus,cylindrical,18,0.97,3.10,10.10,0.02,2.96,14.90,Halichoeres,argus,Halichoeres argus,,Halichoeres argus
Labridae,Halichoeres melanurus,cylindrical,26,0.95,3.60,10.60,0.01,3.26,19.00,Halichoeres,melanurus,Halichoeres melanurus,,Halichoeres melanurus
Labridae,Halichoeres trimaculatus,cylindrical,22,0.99,3.50,16.00,0.03,2.74,10.80,Halichoeres,trimaculatus,Halichoeres trimaculatus,,Halichoeres trimaculatus
Labridae,Hemigymnus melapterus,cylindrical,22,1.00,6.20,34.50,0.02,2.92,7.10,Hemigymnus,melapterus,Hemigymnus melapterus,,Hemigymnus melapterus
Labridae,Labroides dimidiatus,semi-elongated,36,0.98,4.50,11.30,0.01,3.23,10.10,Labroides,dimidiatus,Labroides dimidiatus,,Labroides dimidiatus
Labridae,Stethojulis spp.,cylindrical,170,0.96,2.50,11.50,0.02,2.89,7.10,Stethojulis,spp.,Stethojulis spp.,,Stethojulis spp.
Labridae,Stethojulis bandanensis,cylindrical,23,0.92,3.00,10.00,0.03,2.58,25.90,Stethojulis,bandanensis,Stethojulis bandanensis,,Stethojulis bandanensis
Labridae,Stetholulis interrupta,cylindrical,24,0.96,3.10,9.00,0.03,2.61,23.10,Stetholulis,interrupta,Stetholulis interrupta,,Stetholulis interrupta
Labridae,Stethojulis strigiventer,cylindrical,147,0.97,2.50,11.50,0.02,2.88,12.60,Stethojulis,strigiventer,Stethojulis strigiventer,,Stethojulis strigiventer
Labridae,Thalassoma spp.,cylindrical,158,0.96,2.80,17.60,0.01,3.10,24.40,Thalassoma,spp.,Thalassoma spp.,,Thalassoma spp.
Labridae,Thalassoma hardwicke,cylindrical,10,1.00,5.50,16.30,0.02,2.98,7.00,Thalassoma,hardwicke,Thalassoma hardwicke,,Thalassoma hardwicke
Labridae,Thalassoma lunare,cylindrical,85,0.98,2.80,16.50,0.02,2.83,15.40,Thalassoma,lunare,Thalassoma lunare,,Thalassoma lunare
Labridae,Thalassoma lutescens,cylindrical,51,0.99,4.50,17.60,0.01,3.04,7.60,Thalassoma,lutescens,Thalassoma lutescens,,Thalassoma lutescens
Leiognathidae,,very-flat,1024,0.99,2.50,21.00,0.02,3.11,13.00,,, ,,
Leiognathidae,Gazza minuta,very-flat,151,0.99,2.50,21.00,0.03,2.88,8.80,Gazza,minuta,Gazza minuta,,Gazza minuta
Leiognathidae,Leiognathus spp.,very-flat,856,0.98,2.50,20.00,0.02,3.19,11.80,Leiognathus,spp.,Leiognathus spp.,,Leiognathus spp.
Leiognathidae,Leiognathus bindus,very-flat,127,0.96,3.00,9.00,0.03,2.90,8.90,Leiognathus,bindus,Leiognathus bindus,,Leiognathus bindus
Leiognathidae,Leiognathus equulus,very-flat,380,0.99,2.50,20.00,0.03,2.98,9.20,Leiognathus,equulus,Leiognathus equulus,,Leiognathus equulus
Leiognathidae,Leiognathus fasciatus,very-flat,61,0.99,5.00,15.50,0.02,3.10,8.20,Leiognathus,fasciatus,Leiognathus fasciatus,,Leiognathus fasciatus
Leiognathidae,Leiognathus leuciscus,very-flat,59,0.98,5.00,9.00,0.01,3.49,7.50,Leiognathus,leuciscus,Leiognathus leuciscus,,Leiognathus leuciscus
Leiognathidae,Leiognathus rivulatus,very-flat,39,0.96,6.00,10.00,0.02,3.01,6.50,Leiognathus,rivulatus,Leiognathus rivulatus,,Leiognathus rivulatus
Leiognathidae,Leiognathus splendens,very-flat,161,0.97,4.50,11.50,0.03,2.95,8.30,Leiognathus,splendens,Leiognathus splendens,,Leiognathus splendens
Leiognathidae,Secutor ruconius,very-flat,17,0.92,3.50,6.50,0.03,2.97,13.30,Secutor,ruconius,Secutor ruconius,,Secutor ruconius
Lethrinidae,,heterogeneous,8527,1.00,2.50,86.00,0.02,3.04,9.40,,, ,,
Lethrinidae,Gnathodentex aurolineatus,cylindrical,53,0.98,8.50,20.50,0.02,3.06,6.20,Gnathodentex,aurolineatus,Gnathodentex aurolineatus,,Gnathodentex aurolineatus
Lethrinidae,Gymnocranius spp.,compressed,814,1.00,6.50,69.00,0.03,2.91,5.90,Gymnocranius,spp.,Gymnocranius spp.,,Gymnocranius spp.
Lethrinidae,Gymnocranius euanus,compressed,372,0.99,10.00,49.00,0.02,3.00,5.30,Gymnocranius,euanus,Gymnocranius euanus,,Gymnocranius euanus
Lethrinidae,Gymnocranius grandocculis,compressed,243,1.00,16.00,69.00,0.03,2.89,6.50,Gymnocranius,grandocculis,Gymnocranius grandocculis,,Gymnocranius grandocculis
Lethrinidae,Gymnocranius sp.FAO,compressed,120,1.00,9.00,53.00,0.03,2.93,4.50,Gymnocranius,sp.FAO,Gymnocranius sp.FAO,,Gymnocranius sp.FAO
Lethrinidae,Lethrinus spp.,heterogeneous,7597,1.00,2.50,86.00,0.02,3.04,9.60,Lethrinus,spp.,Lethrinus spp.,,Lethrinus spp.
Lethrinidae,Lethrinus atkinsoni,compressed,2038,0.99,4.20,45.50,0.02,3.06,6.30,Lethrinus,atkinsoni,Lethrinus atkinsoni,,Lethrinus atkinsoni
Lethrinidae,Lethrinus genivittatus,cylindrical,877,0.99,2.50,22.00,0.02,3.00,8.30,Lethrinus,genivittatus,Lethrinus genivittatus,,Lethrinus genivittatus
Lethrinidae,Lethrinus harak,cylindrical,111,1.00,6.00,32.00,0.02,3.04,6.10,Lethrinus,harak,Lethrinus harak,,Lethrinus harak
Lethrinidae,Lethrinus lentjan,compressed,380,1.00,6.50,44.50,0.02,2.99,5.50,Lethrinus,lentjan,Lethrinus lentjan,,Lethrinus lentjan
Lethrinidae,Lethrinus miniatus,cylindrical,59,0.99,18.50,54.50,0.01,3.28,7.20,Lethrinus,miniatus,Lethrinus miniatus,,Lethrinus miniatus
Lethrinidae,Lethrinus nebulosus,compressed,2980,1.00,3.50,69.50,0.02,3.00,6.10,Lethrinus,nebulosus,Lethrinus nebulosus,,Lethrinus nebulosus
Lethrinidae,Lethrinus obsoletus,cylindrical,133,0.99,11.00,31.00,0.02,3.03,7.50,Lethrinus,obsoletus,Lethrinus obsoletus,,Lethrinus obsoletus
Lethrinidae,Lethrinus olivaceus,cylindrical,135,0.99,22.50,72.50,0.03,2.85,8.80,Lethrinus,olivaceus,Lethrinus olivaceus,,Lethrinus olivaceus
Lethrinidae,Lethrinus ravus,cylindrical,9,1.00,11.00,53.20,0.01,3.07,9.50,Lethrinus,ravus,Lethrinus ravus,,Lethrinus ravus
Lethrinidae,Lethrinus rubrioperculatus,cylindrical,661,0.99,16.50,39.50,0.01,3.11,5.70,Lethrinus,rubrioperculatus,Lethrinus rubrioperculatus,,Lethrinus rubrioperculatus
Lethrinidae,Lethrinus semicinctus,cylindrical,155,0.99,3.00,29.00,0.01,3.12,8.60,Lethrinus,semicinctus,Lethrinus semicinctus,,Lethrinus semicinctus
Lethrinidae,Lethrinus xanthochilus,cylindrical,59,0.99,22.00,62.50,0.02,2.96,7.70,Lethrinus,xanthochilus,Lethrinus xanthochilus,,Lethrinus xanthochilus
Lethrinidae,Monotaxis grandoculis,compressed,63,1.00,4.00,45.00,0.02,3.02,7.30,Monotaxis,grandoculis,Monotaxis grandoculis,,Monotaxis grandoculis
Lutjanidae,,heterogeneous,5281,0.99,4.00,92.00,0.02,3.02,11.60,,, ,,
Lutjanidae,Aprion virescens,cylindrical,121,0.98,22.50,88.00,0.02,2.89,8.30,Aprion,virescens,Aprion virescens,,Aprion virescens
Lutjanidae,Lutjanus spp.,heterogeneous,5107,0.99,4.00,77.00,0.02,3.06,10.80,Lutjanus,spp.,Lutjanus spp.,,Lutjanus spp.
Lutjanidae,Lutjanus adetii,compressed,269,0.99,18.50,47.00,0.01,3.26,7.10,Lutjanus,adetii,Lutjanus adetii,,Lutjanus adetii
Lutjanidae,Lutjanus argentimaculatus,cylindrical,308,1.00,5.50,68.00,0.03,2.84,5.60,Lutjanus,argentimaculatus,Lutjanus argentimaculatus,,Lutjanus argentimaculatus
Lutjanidae,Lutjanus bohar,cylindrical,510,1.00,4.00,75.00,0.02,3.06,6.00,Lutjanus,bohar,Lutjanus bohar,,Lutjanus bohar
Lutjanidae,Lutjanus fulviflammus,cylindrical,867,0.99,5.00,32.50,0.02,2.96,6.60,Lutjanus,fulviflammus,Lutjanus fulviflammus,,Lutjanus fulviflammus
Lutjanidae,Lutjanus fulvus,cylindrical,318,0.99,4.00,31.00,0.02,2.97,8.30,Lutjanus,fulvus,Lutjanus fulvus,,Lutjanus fulvus
Lutjanidae,Lutjanus gibbus,compressed,515,0.99,14.20,40.50,0.01,3.14,6.30,Lutjanus,gibbus,Lutjanus gibbus,,Lutjanus gibbus
Lutjanidae,Lutjanus kasmira,cylindrical,127,0.98,4.00,26.00,0.01,3.25,7.80,Lutjanus,kasmira,Lutjanus kasmira,,Lutjanus kasmira
Lutjanidae,Lutjanus lutjanus,cylindrical,68,0.99,8.50,28.00,0.02,2.97,5.80,Lutjanus,lutjanus,Lutjanus lutjanus,,Lutjanus lutjanus
Lutjanidae,Lutjanus monostigma,cylindrical,15,0.99,25.00,53.50,0.02,2.91,9.40,Lutjanus,monostigma,Lutjanus monostigma,,Lutjanus monostigma
Lutjanidae,Lutjanus quinquelineatus,cylindrical,864,0.97,5.50,23.00,0.01,3.10,9.90,Lutjanus,quinquelineatus,Lutjanus quinquelineatus,,Lutjanus quinquelineatus
Lutjanidae,Lutjanus rivulatus,compressed,12,0.99,15.50,76.00,0.01,3.26,11.80,Lutjanus,rivulatus,Lutjanus rivulatus,,Lutjanus rivulatus
Lutjanidae,Lutjanus russelli,cylindrical,171,0.99,9.50,37.00,0.02,2.98,7.80,Lutjanus,russelli,Lutjanus russelli,,Lutjanus russelli
Lutjanidae,Lutjanus sebae,compressed,34,1.00,24.50,77.00,0.01,3.15,4.80,Lutjanus,sebae,Lutjanus sebae,,Lutjanus sebae
Lutjanidae,Lutjanus semicinctus,cylindrical,31,0.98,18.00,35.00,0.00,3.43,8.10,Lutjanus,semicinctus,Lutjanus semicinctus,,Lutjanus semicinctus
Lutjanidae,Lutjanus vittus,cylindrical,998,0.99,9.00,38.50,0.01,3.08,7.50,Lutjanus,vittus,Lutjanus vittus,,Lutjanus vittus
Lutjanidae,Symphorus nematophorus,cylindrical,41,0.98,44.50,92.00,0.01,3.05,5.70,Symphorus,nematophorus,Symphorus nematophorus,,Symphorus nematophorus
Megalopidae,Megalops cyprinoides,semi-elongated,35,0.99,17.00,47.00,0.01,3.03,7.10,Megalops,cyprinoides,Megalops cyprinoides,,Megalops cyprinoides
Microcanthidae,Microcanthus strigatus,compressed,14,0.96,9.20,15.00,0.05,2.82,9.70,Microcanthus,strigatus,Microcanthus strigatus,,Microcanthus strigatus
Microcanthidae,Paramonacanthus japonicus,compressed,48,0.95,5.00,17.00,0.02,2.89,13.00,Paramonacanthus,japonicus,Paramonacanthus japonicus,,Paramonacanthus japonicus
Monacanthidae,Pseudalutarius nasicornis,compressed,209,0.96,8.00,13.50,0.01,3.26,6.90,Pseudalutarius,nasicornis,Pseudalutarius nasicornis,,Pseudalutarius nasicornis
Monodactylidae,Monodactylus argenteus,compressed,203,0.99,2.00,18.50,0.03,2.96,8.00,Monodactylus,argenteus,Monodactylus argenteus,,Monodactylus argenteus
Mugilidae,,cylindrical,2825,0.99,4.00,60.00,0.01,3.05,7.00,,, ,,
Mugilidae,Liza spp.,cylindrical,1544,0.99,4.00,35.50,0.01,3.02,6.50,Liza,spp.,Liza spp.,,Liza spp.
Mugilidae,Liza macrolepis,cylindrical,806,0.99,6.00,29.00,0.01,3.01,6.70,Liza,macrolepis,Liza macrolepis,,Liza macrolepis
Mugilidae,Liza melinoptera,cylindrical,735,0.98,4.00,35.50,0.01,3.05,6.70,Liza,melinoptera,Liza melinoptera,,Liza melinoptera
Mugilidae,Mugil cephalus,cylindrical,182,1.00,6.50,48.50,0.01,3.09,6.50,Mugil,cephalus,Mugil cephalus,,Mugil cephalus
Mugilidae,Valamugil spp.,cylindrical,919,1.00,5.00,60.00,0.01,3.15,10.70,Valamugil,spp.,Valamugil spp.,,Valamugil spp.
Mugilidae,Valamugil buchanani,cylindrical,680,1.00,7.00,60.00,0.01,3.10,7.60,Valamugil,buchanani,Valamugil buchanani,,Valamugil buchanani
Mugilidae,Valamugil engeli,cylindrical,196,0.99,6.50,26.00,0.01,3.29,8.90,Valamugil,engeli,Valamugil engeli,,Valamugil engeli
Mugilidae,Valamugil seheli,cylindrical,38,1.00,11.50,43.50,0.01,3.28,6.10,Valamugil,seheli,Valamugil seheli,,Valamugil seheli
Mullidae,,cylindrical,2902,0.99,3.50,41.00,0.01,3.22,9.70,,, ,,
Mullidae,Mulloides spp.,cylindrical,29,0.98,10.00,21.50,0.01,3.29,12.90,Mulloides,spp.,Mulloides spp.,,Mulloides spp.
Mullidae,Mulloides flavolineatus,cylindrical,24,0.95,10.00,19.50,0.01,3.10,7.60,Mulloides,flavolineatus,Mulloides flavolineatus,,Mulloides flavolineatus
Mullidae,Parupeneus spp.,cylindrical,816,0.99,3.50,41.00,0.01,3.13,10.10,Parupeneus,spp.,Parupeneus spp.,,Parupeneus spp.
Mullidae,Parupeneus barberinus,cylindrical,19,1.00,8.00,41.00,0.01,3.12,5.40,Parupeneus,barberinus,Parupeneus barberinus,,Parupeneus barberinus
Mullidae,Parupeneus ciliatus,cylindrical,92,1.00,3.50,24.50,0.01,3.22,9.00,Parupeneus,ciliatus,Parupeneus ciliatus,,Parupeneus ciliatus
Mullidae,Parupeneus heptacanthus,cylindrical,522,0.99,5.50,23.50,0.02,3.08,6.90,Parupeneus,heptacanthus,Parupeneus heptacanthus,,Parupeneus heptacanthus
Mullidae,Parupeneus indicus,cylindrical,91,1.00,3.50,36.00,0.01,3.11,11.70,Parupeneus,indicus,Parupeneus indicus,,Parupeneus indicus
Mullidae,Parupeneus multifasciatus,cylindrical,53,0.98,3.50,22.80,0.01,3.21,17.00,Parupeneus,multifasciatus,Parupeneus multifasciatus,,Parupeneus multifasciatus
Mullidae,Parupeneus spilurus,cylindrical,19,1.00,11.40,29.50,0.02,3.02,4.60,Parupeneus,spilurus,Parupeneus spilurus,,Parupeneus spilurus
Mullidae,Upeneus spp.,cylindrical,2057,0.98,3.50,24.00,0.01,3.22,7.50,Upeneus,spp.,Upeneus spp.,,Upeneus spp.
Mullidae,Upeneus moluccensis,cylindrical,955,0.98,6.50,17.00,0.02,3.02,6.70,Upeneus,moluccensis,Upeneus moluccensis,,Upeneus moluccensis
Mullidae,Upeneus guttatus,cylindrical,21,0.99,8.00,13.50,0.02,2.88,5.10,Upeneus,guttatus,Upeneus guttatus,,Upeneus guttatus
Mullidae,Upeneus australiae,cylindrical,332,0.98,7.50,15.50,0.01,3.11,7.20,Upeneus,australiae,Upeneus australiae,,Upeneus australiae
